id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
19452,365211.94,3714624.18,2423,530,365025.09,3714474.52,440
19453,365194.67,3714449.28,2384,1322,365025.09,3714474.52,440
19454,365317.64,3714518.99,469,1313,365025.09,3714474.52,440
19455,365178.26,3714451.05,2396,1170,365025.09,3714474.52,440
19456,365178.26,3714451.05,2396,612,365025.09,3714474.52,440
19457,365317.64,3714518.99,469,281,365025.09,3714474.52,440
19458,365430.39,3714424.05,2381,601,366073.06,3714309.54,3614
19459,365430.39,3714424.05,2381,1162,365025.09,3714474.52,440
19460,365308.93,3714436.57,468,679,365025.09,3714474.52,440
19461,365167.89,3714359.93,1324,1177,365025.09,3714474.52,440
19462,365317.64,3714518.99,469,483,365025.09,3714474.52,440
19463,365448.25,3714599.96,2420,1209,365025.09,3714474.52,440
19464,365194.67,3714449.28,2384,603,365025.09,3714474.52,440
19465,365308.93,3714436.57,468,1031,365025.09,3714474.52,440
19466,365167.89,3714359.93,1324,1090,365025.09,3714474.52,440
19467,365178.26,3714451.05,2396,558,365025.09,3714474.52,440
19468,365308.93,3714436.57,468,921,365025.09,3714474.52,440
19469,365194.67,3714449.28,2384,1088,365025.09,3714474.52,440
19470,365218.9,3714699.01,1460,351,365025.09,3714474.52,440
19471,365167.89,3714359.93,1324,1993,365167.89,3714359.93,1324
19472,365448.25,3714599.96,2420,2239,365448.25,3714599.96,2420
19473,365218.9,3714699.01,1460,767,365025.09,3714474.52,440
19474,365448.25,3714599.96,2420,488,365025.09,3714474.52,440
19475,365430.39,3714424.05,2381,1230,366073.06,3714309.54,3614
19476,365218.9,3714699.01,1460,839,365025.09,3714474.52,440
19477,365360.65,3714664.88,3726,1004,365025.09,3714474.52,440
19478,365168.37,3714575.24,3492,720,365025.09,3714474.52,440
19479,365363.07,3714694.52,2451,1111,365025.09,3714474.52,440
19480,365363.07,3714694.52,2451,364,365025.09,3714474.52,440
19481,365363.07,3714694.52,2451,183,365025.09,3714474.52,440
19482,365299.17,3714344.95,481,1630,365091.094314,3714372.099203,1323
19483,365258.37,3714349.6,483,250,365025.09,3714474.52,440
19484,365439.33,3714505.91,471,1472,365279.637519,3714246.33251,197
19485,365299.17,3714344.95,481,839,365025.09,3714474.52,440
19486,365194.67,3714449.28,2384,1176,365025.09,3714474.52,440
19487,365258.37,3714349.6,483,455,365025.09,3714474.52,440
19488,365194.67,3714449.28,2384,1356,365025.09,3714474.52,440
19489,365168.37,3714575.24,3492,310,365025.09,3714474.52,440
19490,365360.65,3714664.88,3726,815,365025.09,3714474.52,440
19491,365168.37,3714575.24,3492,1808,365168.37,3714575.24,3492
19492,365211.94,3714624.18,2423,405,365025.09,3714474.52,440
19493,365363.07,3714694.52,2451,111,365025.09,3714474.52,440
19494,365211.94,3714624.18,2423,757,365025.09,3714474.52,440
19495,365299.17,3714344.95,481,365,365122.39,3714074.92,114
19496,365439.33,3714505.91,471,1458,365265.521861,3714524.409485,469
19497,365258.37,3714349.6,483,399,365025.09,3714474.52,440
19498,365439.33,3714505.91,471,1910,365439.33,3714505.91,471
19499,365168.37,3714575.24,3492,1926,365168.37,3714575.24,3492
19500,365360.65,3714664.88,3726,999,365025.09,3714474.52,440
19501,365211.94,3714624.18,2423,1090,365025.09,3714474.52,440
19502,365258.37,3714349.6,483,1296,365025.09,3714474.52,440
19503,365439.33,3714505.91,471,2307,365439.33,3714505.91,471
19504,365299.17,3714344.95,481,744,365025.09,3714474.52,440
19505,365360.65,3714664.88,3726,721,365025.09,3714474.52,440
19506,365194.67,3714449.28,2384,1083,365025.09,3714474.52,440
19507,365211.94,3714624.18,2423,587,365025.09,3714474.52,440
19508,365194.67,3714449.28,2384,1614,365059.024464,3714545.092741,436
19509,365211.94,3714624.18,2423,977,365025.09,3714474.52,440
19510,365211.94,3714624.18,2423,697,365025.09,3714474.52,440
19511,365317.64,3714518.99,469,850,365025.09,3714474.52,440
19512,365317.64,3714518.99,469,826,365025.09,3714474.52,440
19513,365211.94,3714624.18,2423,262,365025.09,3714474.52,440
19514,365317.64,3714518.99,469,398,365025.09,3714474.52,440
19515,365317.64,3714518.99,469,586,365025.09,3714474.52,440
19516,365211.94,3714624.18,2423,1532,365134.29377,3714535.690046,542
19517,365211.94,3714624.18,2423,890,365025.09,3714474.52,440
19518,365317.64,3714518.99,469,488,365025.09,3714474.52,440
