id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
30658,367162.3,3713347.55,310,176,367276.51,3713641.71,3802
30659,367314.57,3713394.91,1722,678,367276.51,3713641.71,3802
30660,367314.57,3713394.91,1722,614,367276.51,3713641.71,3802
30661,367175.51,3713418.08,708,736,367276.51,3713641.71,3802
30662,367207.15,3713361.65,309,1296,367276.51,3713641.71,3802
30664,367207.15,3713361.65,309,996,367276.51,3713641.71,3802
30665,367207.15,3713361.65,309,912,367276.51,3713641.71,3802
30666,367397.88,3713458.78,1725,316,367539.75,3713752.54,203
30667,367314.57,3713394.91,1722,1140,367276.51,3713641.71,3802
30668,367314.57,3713394.91,1722,951,367276.51,3713641.71,3802
30669,367314.57,3713394.91,1722,326,367276.51,3713641.71,3802
30670,367408.33,3713425.03,1724,1042,367539.75,3713752.54,203
30671,367397.88,3713458.78,1725,168,367539.75,3713752.54,203
30672,367428.89,3713431.53,1726,250,367276.51,3713641.71,3802
30673,367314.57,3713394.91,1722,329,367276.51,3713641.71,3802
30674,367428.89,3713431.53,1726,365,367276.51,3713641.71,3802
30675,367197.15,3713395.16,710,167,367276.51,3713641.71,3802
30676,367428.89,3713431.53,1726,1158,367276.51,3713641.71,3802
30677,367397.88,3713458.78,1725,399,367539.75,3713752.54,203
30678,367408.33,3713425.03,1724,1379,367539.75,3713752.54,203
30679,367197.15,3713395.16,710,1278,367276.51,3713641.71,3802
30680,367197.15,3713395.16,710,977,367276.51,3713641.71,3802
30681,367190.05,3713418.97,711,820,367276.51,3713641.71,3802
30682,367397.88,3713458.78,1725,799,367276.51,3713641.71,3802
30683,367397.88,3713458.78,1725,715,367276.51,3713641.71,3802
30685,367314.57,3713394.91,1722,946,367276.51,3713641.71,3802
30688,367197.15,3713395.16,710,787,367276.51,3713641.71,3802
30690,367397.88,3713458.78,1725,1089,367539.75,3713752.54,203
30691,367314.57,3713394.91,1722,853,367276.51,3713641.71,3802
30692,367190.05,3713418.97,711,619,367276.51,3713641.71,3802
30693,367197.15,3713395.16,710,598,367276.51,3713641.71,3802
